Product_ID,Product_Name,Category,Warehouse,Location,Quantity,Price,Supplier,stock_status,Last_Restocked,Total_inventory
1343, gadget x ,Furniture,Warehouse 2,Aisle 4,100,49.99,Supplier B,In Stock,10-01-2023,4999.00 
1491, widget a ,Toys,Warehouse 1,Aisle 5,100,19.99,Supplier D,Out of Stock,11-01-2023,1999.00 
1413, gadget y ,Cloths,Warehouse 3,Aisle 3,150,9.99,Supplier C,Out of Stock,12-01-2023,1498.50 
1805, gadget y ,Cloths,Warehouse 2,Aisle 2,300,9.99,Supplier C,Low Stock,13-01-2023,2997.00 
1385, gadget z ,Toys,Warehouse 1,Aisle 4,50,19.99,Supplier B,In Stock,14-01-2023,999.50 
1191, widget c ,Electronic,Warehouse 2,Aisle 3,100,19.99,Supplier A,Low Stock,15-01-2023,1999.00 
1955, gadget y ,Cloths,Warehouse 2,Aisle 5,100,49.99,Supplier B,Out of Stock,16-01-2023,4999.00 
1276, gadget y ,Cloths,Warehouse 2,Aisle 1,NaN,19.99,Supplier C,Out of Stock,17-01-2023,NULL
1160, gadget y ,Cloths,Warehouse 1,Aisle 5,NaN,29.99,Supplier B,Low Stock,18-01-2023,NULL
1459, gadget y ,Cloths,Warehouse 3,Aisle 2,100,NaN,Supplier D,Out of Stock,19-01-2023,NULL
1313, widget b ,Cloths,Warehouse 3,Aisle 4,300,19.99,Supplier A,In Stock,20-01-2023,5997.00 
1021, widget b ,Cloths,Warehouse 1,Aisle 4,150,19.99,Supplier B,Low Stock,21-01-2023,2998.50 
1252, widget c ,Electronic,Warehouse 2,Aisle 2,100,29.99,Supplier D,In Stock,22-01-2023,2999.00 
1747, widget a ,Toys,Warehouse 1,Aisle 3,200,9.99,Supplier C,In Stock,23-01-2023,1998.00 
1856, gadget y ,Cloths,Warehouse 1,Aisle 3,50,9.99,Supplier B,In Stock,24-01-2023,499.50 
1560, gadget z ,Toys,Warehouse 1,Aisle 4,150,49.99,Supplier C,Low Stock,25-01-2023,7498.50 
1474, widget a ,Toys,Warehouse 2,Aisle 4,200,29.99,Supplier D,Out of Stock,26-01-2023,5998.00 
1058, gadget z ,Toys,Warehouse 1,Aisle 1,150,NaN,Supplier C,In Stock,27-01-2023,NULL
1510, widget a ,Toys,Warehouse 2,Aisle 3,200,NaN,Supplier D,In Stock,28-01-2023,NULL
1681, widget c ,Electronic,Warehouse 1,Aisle 2,50,29.99,Supplier D,In Stock,29-01-2023,1499.50 
1475, gadget y ,Cloths,Warehouse 3,Aisle 3,50,NaN,Supplier D,Out of Stock,30-01-2023,NULL
1699, gadget y ,Cloths,Warehouse 1,Aisle 1,NaN,9.99,Supplier B,Out of Stock,31-01-2023,NULL
1975, gadget x ,Furniture,Warehouse 1,Aisle 4,300,NaN,Supplier C,Low Stock,01-02-2023,NULL
1782, gadget z ,Toys,Warehouse 3,Aisle 4,200,NaN,Supplier C,Out of Stock,02-02-2023,NULL
1189, widget a ,Toys,Warehouse 2,Aisle 1,NaN,29.99,Supplier A,Low Stock,03-02-2023,NULL
1957, widget a ,Toys,Warehouse 2,Aisle 2,200,29.99,Supplier A,Low Stock,04-02-2023,5998.00 
1686, widget b ,Cloths,Warehouse 1,Aisle 4,NaN,NaN,Supplier A,Low Stock,05-02-2023,NULL
1957, gadget x ,Furniture,Warehouse 3,Aisle 5,50,19.99,Supplier A,Low Stock,06-02-2023,999.50 
1562, widget b ,Cloths,Warehouse 2,Aisle 4,150,29.99,Supplier C,Low Stock,07-02-2023,4498.50 
1875, widget b ,Cloths,Warehouse 1,Aisle 5,NaN,49.99,Supplier D,In Stock,08-02-2023,NULL
1566, widget b ,Cloths,Warehouse 3,Aisle 1,200,49.99,Supplier D,Out of Stock,09-02-2023,9998.00 
1243, gadget z ,Toys,Warehouse 2,Aisle 1,200,9.99,Supplier B,In Stock,10-02-2023,1998.00 
1831, gadget z ,Toys,Warehouse 2,Aisle 4,300,NaN,Supplier D,Low Stock,11-02-2023,NULL
1504, widget c ,Electronic,Warehouse 3,Aisle 3,50,19.99,Supplier C,Out of Stock,12-02-2023,999.50 
1130, widget c ,Electronic,Warehouse 3,Aisle 5,200,9.99,Supplier C,In Stock,13-02-2023,1998.00 
1484, widget b ,Cloths,Warehouse 3,Aisle 2,100,NaN,Supplier C,In Stock,14-02-2023,NULL
1818, gadget x ,Furniture,Warehouse 3,Aisle 4,150,29.99,Supplier B,Low Stock,15-02-2023,4498.50 
1646, widget a ,Toys,Warehouse 1,Aisle 2,NaN,49.99,Supplier A,In Stock,16-02-2023,NULL
1020, gadget z ,Toys,Warehouse 3,Aisle 4,300,19.99,Supplier D,In Stock,17-02-2023,5997.00 
1840, gadget x ,Furniture,Warehouse 2,Aisle 3,150,49.99,Supplier C,In Stock,18-02-2023,7498.50 
1166, gadget y ,Cloths,Warehouse 2,Aisle 3,50,29.99,Supplier C,In Stock,19-02-2023,1499.50 
1273, gadget z ,Toys,Warehouse 1,Aisle 3,300,NaN,Supplier A,In Stock,20-02-2023,NULL
1387, gadget z ,Toys,Warehouse 2,Aisle 3,NaN,29.99,Supplier C,Low Stock,21-02-2023,NULL
1600, widget c ,Electronic,Warehouse 2,Aisle 1,NaN,29.99,Supplier D,Low Stock,22-02-2023,NULL
1315, widget a ,Toys,Warehouse 3,Aisle 1,100,49.99,Supplier B,In Stock,23-02-2023,4999.00 
1013, widget a ,Toys,Warehouse 2,Aisle 5,50,19.99,Supplier C,Low Stock,24-02-2023,999.50 
1241, gadget y ,Cloths,Warehouse 1,Aisle 2,300,29.99,Supplier D,Low Stock,25-02-2023,8997.00 
1776, gadget y ,Cloths,Warehouse 3,Aisle 4,300,49.99,Supplier C,Out of Stock,26-02-2023,14997.00 
1345, gadget z ,Toys,Warehouse 3,Aisle 4,200,19.99,Supplier A,In Stock,27-02-2023,3998.00 
1564, widget b ,Cloths,Warehouse 1,Aisle 1,100,NaN,Supplier C,Low Stock,28-02-2023,NULL
1897, widget c ,Electronic,Warehouse 3,Aisle 4,100,NaN,Supplier C,Low Stock,01-03-2023,NULL
1339, widget c ,Electronic,Warehouse 3,Aisle 1,300,9.99,Supplier B,In Stock,02-03-2023,2997.00 
1091, gadget z ,Toys,Warehouse 1,Aisle 5,300,49.99,Supplier A,Out of Stock,03-03-2023,14997.00 
1366, gadget x ,Furniture,Warehouse 3,Aisle 2,150,19.99,Supplier A,In Stock,04-03-2023,2998.50 
1955, widget b ,Cloths,Warehouse 1,Aisle 5,150,29.99,Supplier B,Out of Stock,05-03-2023,4498.50 
1454, gadget z ,Toys,Warehouse 1,Aisle 3,150,NaN,Supplier C,In Stock,06-03-2023,NULL
1427, widget b ,Cloths,Warehouse 2,Aisle 3,100,19.99,Supplier D,In Stock,07-03-2023,1999.00 
1508, widget b ,Cloths,Warehouse 2,Aisle 3,200,49.99,Supplier A,In Stock,08-03-2023,9998.00 
1775, widget b ,Cloths,Warehouse 3,Aisle 5,NaN,9.99,Supplier A,In Stock,09-03-2023,NULL
1942, gadget z ,Toys,Warehouse 3,Aisle 4,150,NaN,Supplier C,Out of Stock,10-03-2023,NULL
1034, widget c ,Electronic,Warehouse 1,Aisle 2,200,19.99,Supplier C,Out of Stock,11-03-2023,3998.00 
1205, widget c ,Electronic,Warehouse 3,Aisle 3,50,19.99,Supplier A,Low Stock,12-03-2023,999.50 
1080, widget b ,Cloths,Warehouse 1,Aisle 3,150,19.99,Supplier C,In Stock,13-03-2023,2998.50 
1931, gadget x ,Furniture,Warehouse 1,Aisle 3,NaN,49.99,Supplier D,Out of Stock,14-03-2023,NULL
1561, widget a ,Toys,Warehouse 3,Aisle 2,50,49.99,Supplier A,Out of Stock,15-03-2023,2499.50 
1871, gadget z ,Toys,Warehouse 1,Aisle 3,50,49.99,Supplier D,Out of Stock,16-03-2023,2499.50 
1387, widget a ,Toys,Warehouse 2,Aisle 2,NaN,29.99,Supplier D,In Stock,17-03-2023,NULL
1001, gadget x ,Furniture,Warehouse 3,Aisle 3,150,19.99,Supplier C,Low Stock,18-03-2023,2998.50 
1389, gadget z ,Toys,Warehouse 2,Aisle 5,100,NaN,Supplier D,Out of Stock,19-03-2023,NULL
1565, widget b ,Cloths,Warehouse 3,Aisle 5,NaN,49.99,Supplier C,In Stock,20-03-2023,NULL
1105, widget c ,Electronic,Warehouse 1,Aisle 2,NaN,49.99,Supplier B,Out of Stock,21-03-2023,NULL
1771, widget a ,Toys,Warehouse 3,Aisle 5,NaN,19.99,Supplier C,Out of Stock,22-03-2023,NULL
1821, gadget y ,Cloths,Warehouse 2,Aisle 2,50,49.99,Supplier D,Low Stock,23-03-2023,2499.50 
1476, gadget y ,Cloths,Warehouse 1,Aisle 5,200,29.99,Supplier B,Out of Stock,24-03-2023,5998.00 
1702, gadget x ,Furniture,Warehouse 3,Aisle 5,100,29.99,Supplier C,Out of Stock,25-03-2023,2999.00 
1401, widget b ,Cloths,Warehouse 3,Aisle 2,150,49.99,Supplier D,In Stock,26-03-2023,7498.50 
1729, widget a ,Toys,Warehouse 3,Aisle 4,150,19.99,Supplier A,In Stock,27-03-2023,2998.50 
1555, widget b ,Cloths,Warehouse 2,Aisle 5,200,19.99,Supplier A,Low Stock,28-03-2023,3998.00 
1161, widget a ,Toys,Warehouse 2,Aisle 3,NaN,19.99,Supplier C,In Stock,29-03-2023,NULL
1201, gadget x ,Furniture,Warehouse 3,Aisle 4,100,9.99,Supplier C,In Stock,30-03-2023,999.00 
1957, gadget x ,Furniture,Warehouse 1,Aisle 2,150,49.99,Supplier A,Low Stock,31-03-2023,7498.50 
1995, gadget y ,Cloths,Warehouse 1,Aisle 4,300,19.99,Supplier D,Out of Stock,01-04-2023,5997.00 
1269, widget b ,Cloths,Warehouse 2,Aisle 1,150,29.99,Supplier D,Low Stock,02-04-2023,4498.50 
1862, gadget z ,Toys,Warehouse 1,Aisle 1,NaN,NaN,Supplier D,In Stock,03-04-2023,NULL
1815, gadget y ,Cloths,Warehouse 2,Aisle 5,300,NaN,Supplier C,Low Stock,04-04-2023,NULL
1270, widget b ,Cloths,Warehouse 3,Aisle 5,200,19.99,Supplier B,Out of Stock,05-04-2023,3998.00 
1455, gadget y ,Cloths,Warehouse 2,Aisle 3,100,NaN,Supplier B,Low Stock,06-04-2023,NULL
1461, gadget z ,Toys,Warehouse 2,Aisle 4,200,NaN,Supplier B,In Stock,07-04-2023,NULL
1726, widget c ,Electronic,Warehouse 3,Aisle 1,200,9.99,Supplier B,In Stock,08-04-2023,1998.00 
1251, widget c ,Electronic,Warehouse 1,Aisle 5,100,29.99,Supplier B,Low Stock,09-04-2023,2999.00 
1701, widget c ,Electronic,Warehouse 2,Aisle 4,100,29.99,Supplier C,Out of Stock,10-04-2023,2999.00 
1295, widget c ,Electronic,Warehouse 2,Aisle 5,150,9.99,Supplier C,Low Stock,11-04-2023,1498.50 
1724, widget a ,Toys,Warehouse 3,Aisle 5,150,9.99,Supplier B,Out of Stock,12-04-2023,1498.50 
1719, widget c ,Electronic,Warehouse 1,Aisle 1,100,NaN,Supplier C,Out of Stock,13-04-2023,NULL
1748, gadget z ,Toys,Warehouse 2,Aisle 1,300,49.99,Supplier C,Low Stock,14-04-2023,14997.00 
1337, gadget x ,Furniture,Warehouse 3,Aisle 5,50,NaN,Supplier B,Out of Stock,15-04-2023,NULL
1878, gadget x ,Furniture,Warehouse 2,Aisle 2,150,9.99,Supplier D,In Stock,16-04-2023,1498.50 
1052, widget a ,Toys,Warehouse 3,Aisle 5,50,29.99,Supplier C,Low Stock,17-04-2023,1499.50 
1791, widget c ,Electronic,Warehouse 1,Aisle 5,300,NaN,Supplier D,Out of Stock,18-04-2023,NULL
1921, widget c ,Electronic,Warehouse 1,Aisle 3,100,49.99,Supplier C,In Stock,19-04-2023,4999.00 
1216, widget c ,Electronic,Warehouse 1,Aisle 3,300,NaN,Supplier C,Low Stock,20-04-2023,NULL
1763, gadget y ,Cloths,Warehouse 1,Aisle 3,150,19.99,Supplier B,In Stock,21-04-2023,2998.50 
1187, widget b ,Cloths,Warehouse 2,Aisle 2,200,NaN,Supplier C,In Stock,22-04-2023,NULL
1379, gadget y ,Cloths,Warehouse 2,Aisle 2,100,9.99,Supplier A,In Stock,23-04-2023,999.00 
1492, widget b ,Cloths,Warehouse 1,Aisle 5,NaN,29.99,Supplier A,Out of Stock,24-04-2023,NULL
1040, widget c ,Electronic,Warehouse 1,Aisle 3,50,29.99,Supplier B,Low Stock,25-04-2023,1499.50 
1156, widget c ,Electronic,Warehouse 1,Aisle 2,300,9.99,Supplier D,Low Stock,26-04-2023,2997.00 
1014, gadget y ,Cloths,Warehouse 2,Aisle 1,100,19.99,Supplier D,Out of Stock,27-04-2023,1999.00 
1812, gadget y ,Cloths,Warehouse 1,Aisle 5,300,9.99,Supplier D,Low Stock,28-04-2023,2997.00 
1064, widget b ,Cloths,Warehouse 1,Aisle 4,100,NaN,Supplier A,In Stock,29-04-2023,NULL
1856, gadget x ,Furniture,Warehouse 1,Aisle 5,150,9.99,Supplier D,Low Stock,30-04-2023,1498.50 
1838, widget b ,Cloths,Warehouse 3,Aisle 4,150,9.99,Supplier D,Out of Stock,01-05-2023,1498.50 
1520, gadget y ,Cloths,Warehouse 1,Aisle 3,150,19.99,Supplier B,In Stock,02-05-2023,2998.50 
1343, gadget z ,Toys,Warehouse 3,Aisle 4,300,NaN,Supplier D,Out of Stock,03-05-2023,NULL
1128, gadget y ,Cloths,Warehouse 3,Aisle 3,NaN,49.99,Supplier A,In Stock,04-05-2023,NULL
1647, gadget z ,Toys,Warehouse 1,Aisle 1,150,49.99,Supplier A,In Stock,05-05-2023,7498.50 
1471, widget a ,Toys,Warehouse 3,Aisle 4,100,29.99,Supplier A,Low Stock,06-05-2023,2999.00 
1062, gadget y ,Cloths,Warehouse 1,Aisle 5,150,9.99,Supplier B,In Stock,07-05-2023,1498.50 
1138, widget a ,Toys,Warehouse 2,Aisle 3,200,29.99,Supplier B,Out of Stock,08-05-2023,5998.00 
1498, gadget x ,Furniture,Warehouse 2,Aisle 5,150,19.99,Supplier C,Low Stock,09-05-2023,2998.50 
1592, widget b ,Cloths,Warehouse 2,Aisle 2,300,49.99,Supplier D,Out of Stock,10-05-2023,14997.00 
1391, gadget z ,Toys,Warehouse 2,Aisle 3,NaN,9.99,Supplier B,In Stock,11-05-2023,NULL
1674, widget b ,Cloths,Warehouse 3,Aisle 4,200,19.99,Supplier A,Out of Stock,12-05-2023,3998.00 
1418, widget a ,Toys,Warehouse 1,Aisle 3,300,19.99,Supplier A,Out of Stock,13-05-2023,5997.00 
1288, gadget z ,Toys,Warehouse 1,Aisle 5,300,9.99,Supplier B,In Stock,14-05-2023,2997.00 
1378, widget b ,Cloths,Warehouse 1,Aisle 1,300,19.99,Supplier B,Low Stock,15-05-2023,5997.00 
1772, gadget y ,Cloths,Warehouse 2,Aisle 3,100,9.99,Supplier B,Out of Stock,16-05-2023,999.00 
1489, widget c ,Electronic,Warehouse 2,Aisle 4,300,9.99,Supplier C,In Stock,17-05-2023,2997.00 
1230, widget a ,Toys,Warehouse 1,Aisle 2,100,NaN,Supplier A,Low Stock,18-05-2023,NULL
1040, widget b ,Cloths,Warehouse 2,Aisle 1,300,29.99,Supplier C,Low Stock,19-05-2023,8997.00 
1027, widget a ,Toys,Warehouse 1,Aisle 2,50,19.99,Supplier C,Low Stock,20-05-2023,999.50 
1134, widget a ,Toys,Warehouse 1,Aisle 3,200,19.99,Supplier D,Out of Stock,21-05-2023,3998.00 
1200, gadget z ,Toys,Warehouse 1,Aisle 5,50,NaN,Supplier A,Out of Stock,22-05-2023,NULL
1839, gadget z ,Toys,Warehouse 1,Aisle 5,300,NaN,Supplier A,Out of Stock,23-05-2023,NULL
1779, widget c ,Electronic,Warehouse 1,Aisle 4,200,NaN,Supplier B,Low Stock,24-05-2023,NULL
1929, gadget y ,Cloths,Warehouse 1,Aisle 5,200,49.99,Supplier B,Out of Stock,25-05-2023,9998.00 
1032, widget a ,Toys,Warehouse 1,Aisle 1,NaN,49.99,Supplier D,In Stock,26-05-2023,NULL
1047, widget b ,Cloths,Warehouse 2,Aisle 5,50,49.99,Supplier C,Out of Stock,27-05-2023,2499.50 
1502, gadget x ,Furniture,Warehouse 1,Aisle 4,NaN,9.99,Supplier B,Out of Stock,28-05-2023,NULL
1406, widget a ,Toys,Warehouse 1,Aisle 3,200,19.99,Supplier B,Low Stock,29-05-2023,3998.00 
1573, widget a ,Toys,Warehouse 2,Aisle 3,100,29.99,Supplier A,Out of Stock,30-05-2023,2999.00 
1727, widget c ,Electronic,Warehouse 2,Aisle 5,200,9.99,Supplier A,In Stock,31-05-2023,1998.00 
1804, gadget y ,Cloths,Warehouse 2,Aisle 2,NaN,19.99,Supplier B,Low Stock,01-06-2023,NULL
1098, gadget x ,Furniture,Warehouse 1,Aisle 3,50,19.99,Supplier A,In Stock,02-06-2023,999.50 
1683, gadget z ,Toys,Warehouse 3,Aisle 5,300,NaN,Supplier D,Low Stock,03-06-2023,NULL
1871, gadget z ,Toys,Warehouse 3,Aisle 4,300,NaN,Supplier B,Low Stock,04-06-2023,NULL
1725, widget b ,Cloths,Warehouse 2,Aisle 5,50,9.99,Supplier A,Out of Stock,05-06-2023,499.50 
1986, gadget x ,Furniture,Warehouse 3,Aisle 3,300,NaN,Supplier D,In Stock,06-06-2023,NULL
1546, gadget z ,Toys,Warehouse 2,Aisle 4,300,19.99,Supplier A,Low Stock,07-06-2023,5997.00 
1960, widget b ,Cloths,Warehouse 1,Aisle 5,NaN,NaN,Supplier A,Out of Stock,08-06-2023,NULL
1738, gadget y ,Cloths,Warehouse 3,Aisle 1,50,49.99,Supplier A,Low Stock,09-06-2023,2499.50 
1612, widget b ,Cloths,Warehouse 1,Aisle 4,150,NaN,Supplier B,Low Stock,10-06-2023,NULL
1942, gadget z ,Toys,Warehouse 3,Aisle 1,100,19.99,Supplier C,Low Stock,11-06-2023,1999.00 
1461, widget c ,Electronic,Warehouse 1,Aisle 2,100,9.99,Supplier A,Low Stock,12-06-2023,999.00 
1642, widget c ,Electronic,Warehouse 3,Aisle 4,300,29.99,Supplier D,Low Stock,13-06-2023,8997.00 
1768, widget c ,Electronic,Warehouse 1,Aisle 1,100,NaN,Supplier B,Low Stock,14-06-2023,NULL
1004, gadget z ,Toys,Warehouse 1,Aisle 3,50,19.99,Supplier B,Out of Stock,15-06-2023,999.50 
1217, widget c ,Electronic,Warehouse 3,Aisle 3,50,29.99,Supplier D,Low Stock,16-06-2023,1499.50 
1502, gadget x ,Furniture,Warehouse 1,Aisle 2,200,29.99,Supplier A,In Stock,17-06-2023,5998.00 
1766, gadget y ,Cloths,Warehouse 1,Aisle 4,200,49.99,Supplier C,Out of Stock,18-06-2023,9998.00 
1397, widget b ,Cloths,Warehouse 1,Aisle 4,100,29.99,Supplier A,In Stock,19-06-2023,2999.00 
1870, widget b ,Cloths,Warehouse 3,Aisle 4,150,19.99,Supplier D,Low Stock,20-06-2023,2998.50 
1794, gadget z ,Toys,Warehouse 3,Aisle 2,200,19.99,Supplier B,In Stock,21-06-2023,3998.00 
1392, widget c ,Electronic,Warehouse 1,Aisle 4,200,NaN,Supplier C,Low Stock,22-06-2023,NULL
1206, widget c ,Electronic,Warehouse 1,Aisle 3,50,NaN,Supplier B,Low Stock,23-06-2023,NULL
1014, widget a ,Toys,Warehouse 3,Aisle 1,150,NaN,Supplier D,Out of Stock,24-06-2023,NULL
1857, gadget y ,Cloths,Warehouse 3,Aisle 3,300,29.99,Supplier A,Out of Stock,25-06-2023,8997.00 
1553, gadget x ,Furniture,Warehouse 1,Aisle 3,100,29.99,Supplier C,Low Stock,26-06-2023,2999.00 
1891, widget b ,Cloths,Warehouse 1,Aisle 1,200,49.99,Supplier B,Out of Stock,27-06-2023,9998.00 
1460, widget a ,Toys,Warehouse 1,Aisle 3,150,NaN,Supplier B,In Stock,28-06-2023,NULL
1690, widget a ,Toys,Warehouse 2,Aisle 2,150,9.99,Supplier B,Out of Stock,29-06-2023,1498.50 
1574, gadget z ,Toys,Warehouse 3,Aisle 1,100,49.99,Supplier A,Out of Stock,30-06-2023,4999.00 
1863, widget b ,Cloths,Warehouse 2,Aisle 3,150,9.99,Supplier C,In Stock,01-07-2023,1498.50 
1742, gadget z ,Toys,Warehouse 3,Aisle 5,150,29.99,Supplier A,Out of Stock,02-07-2023,4498.50 
1240, gadget x ,Furniture,Warehouse 3,Aisle 3,150,49.99,Supplier A,Low Stock,03-07-2023,7498.50 
1563, widget a ,Toys,Warehouse 3,Aisle 2,200,49.99,Supplier A,In Stock,04-07-2023,9998.00 
1095, widget a ,Toys,Warehouse 3,Aisle 4,100,19.99,Supplier D,Low Stock,05-07-2023,1999.00 
1899, gadget y ,Cloths,Warehouse 3,Aisle 3,150,29.99,Supplier D,In Stock,06-07-2023,4498.50 
1733, gadget x ,Furniture,Warehouse 3,Aisle 4,150,29.99,Supplier D,Low Stock,07-07-2023,4498.50 
1484, widget a ,Toys,Warehouse 3,Aisle 5,200,49.99,Supplier C,Low Stock,08-07-2023,9998.00 
1406, gadget x ,Furniture,Warehouse 2,Aisle 3,100,29.99,Supplier A,Out of Stock,09-07-2023,2999.00 
1230, widget b ,Cloths,Warehouse 1,Aisle 1,50,49.99,Supplier A,Low Stock,10-07-2023,2499.50 
1748, widget c ,Electronic,Warehouse 1,Aisle 4,200,19.99,Supplier D,Out of Stock,11-07-2023,3998.00 
1654, widget a ,Toys,Warehouse 2,Aisle 5,100,49.99,Supplier A,In Stock,12-07-2023,4999.00 
1170, gadget y ,Cloths,Warehouse 2,Aisle 1,150,29.99,Supplier A,Low Stock,13-07-2023,4498.50 
1540, widget b ,Cloths,Warehouse 2,Aisle 1,100,29.99,Supplier B,Low Stock,14-07-2023,2999.00 
1035, gadget x ,Furniture,Warehouse 2,Aisle 1,100,49.99,Supplier A,In Stock,15-07-2023,4999.00 
1524, gadget z ,Toys,Warehouse 3,Aisle 1,300,49.99,Supplier B,In Stock,16-07-2023,14997.00 
1159, widget b ,Cloths,Warehouse 1,Aisle 3,100,49.99,Supplier A,Low Stock,17-07-2023,4999.00 
1838, widget a ,Toys,Warehouse 3,Aisle 3,50,NaN,Supplier C,In Stock,18-07-2023,NULL
1698, gadget x ,Furniture,Warehouse 1,Aisle 3,100,29.99,Supplier D,Out of Stock,19-07-2023,2999.00 
1242, widget c ,Electronic,Warehouse 1,Aisle 5,50,29.99,Supplier B,In Stock,20-07-2023,1499.50 
1085, widget b ,Cloths,Warehouse 2,Aisle 5,150,NaN,Supplier D,In Stock,21-07-2023,NULL
1795, widget a ,Toys,Warehouse 3,Aisle 5,50,49.99,Supplier B,Low Stock,22-07-2023,2499.50 
1577, gadget y ,Cloths,Warehouse 2,Aisle 2,150,19.99,Supplier B,Out of Stock,23-07-2023,2998.50 
1681, gadget z ,Toys,Warehouse 3,Aisle 5,150,49.99,Supplier B,In Stock,24-07-2023,7498.50 
1556, gadget x ,Furniture,Warehouse 1,Aisle 3,50,49.99,Supplier C,Out of Stock,25-07-2023,2499.50 
1573, widget b ,Cloths,Warehouse 2,Aisle 3,200,NaN,Supplier A,Out of Stock,26-07-2023,NULL
1952, widget b ,Cloths,Warehouse 2,Aisle 2,NaN,29.99,Supplier B,Out of Stock,27-07-2023,NULL
1645, widget c ,Electronic,Warehouse 1,Aisle 2,100,49.99,Supplier C,Low Stock,28-07-2023,4999.00 
1795, widget c ,Electronic,Warehouse 1,Aisle 5,300,29.99,Supplier B,In Stock,29-07-2023,8997.00 
1027, gadget y ,Cloths,Warehouse 1,Aisle 4,NaN,9.99,Supplier A,Low Stock,30-07-2023,NULL
1619, gadget z ,Toys,Warehouse 2,Aisle 2,100,29.99,Supplier B,In Stock,31-07-2023,2999.00 
1555, gadget y ,Cloths,Warehouse 3,Aisle 1,100,19.99,Supplier C,In Stock,01-08-2023,1999.00 
1339, widget a ,Toys,Warehouse 2,Aisle 3,150,19.99,Supplier A,Low Stock,02-08-2023,2998.50 
1797, widget a ,Toys,Warehouse 3,Aisle 1,100,49.99,Supplier C,Out of Stock,03-08-2023,4999.00 
1957, gadget y ,Cloths,Warehouse 2,Aisle 3,300,29.99,Supplier A,Out of Stock,04-08-2023,8997.00 
1330, gadget z ,Toys,Warehouse 2,Aisle 3,100,49.99,Supplier A,In Stock,05-08-2023,4999.00 
1639, gadget y ,Cloths,Warehouse 1,Aisle 2,50,NaN,Supplier D,Low Stock,06-08-2023,NULL
1505, gadget z ,Toys,Warehouse 3,Aisle 2,NaN,19.99,Supplier D,Out of Stock,07-08-2023,NULL
1347, gadget z ,Toys,Warehouse 2,Aisle 1,50,49.99,Supplier D,Out of Stock,08-08-2023,2499.50 
1472, gadget x ,Furniture,Warehouse 2,Aisle 3,300,NaN,Supplier A,In Stock,09-08-2023,NULL
1230, gadget z ,Toys,Warehouse 1,Aisle 1,100,49.99,Supplier B,In Stock,10-08-2023,4999.00 
