Month,City,Cuisine,Orders,Revenue,Avg_Order_Value,Avg_Delivery_Time_Min,Cancellation_Rate,Avg_Rider_Rating
2023-08,Mumbai,North Indian,3188,1170259.46,367.02,30.9,0.032,4.69
2023-08,Mumbai,South Indian,2377,875659.76,368.29,31.2,0.025,4.69
2023-08,Mumbai,Chinese,2607,766114.12,293.78,37.0,0.03,4.58
2023-08,Mumbai,Italian,1415,585683.68,413.89,33.4,0.049,4.45
2023-08,Mumbai,Fast Food,3659,1411170.45,385.64,35.2,0.027,4.48
2023-08,Delhi,North Indian,3246,943955.14,290.77,33.2,0.034,4.56
2023-08,Delhi,South Indian,2035,837700.87,411.6,35.0,0.049,4.78
2023-08,Delhi,Chinese,2441,743425.7,304.5,34.2,0.029,4.71
2023-08,Delhi,Italian,1417,554198.2,390.88,29.1,0.027,4.59
2023-08,Delhi,Fast Food,3549,1138734.73,320.84,30.3,0.029,4.48
2023-08,Bangalore,North Indian,2575,992689.46,385.46,32.1,0.037,4.47
2023-08,Bangalore,South Indian,2003,605318.24,302.08,29.2,0.036,4.73
2023-08,Bangalore,Chinese,2425,891186.75,367.44,35.0,0.021,4.72
2023-08,Bangalore,Italian,1377,452171.23,328.37,32.7,0.033,4.74
2023-08,Bangalore,Fast Food,3091,1154989.0,373.64,36.8,0.021,4.44
2023-08,Pune,North Indian,2085,839422.25,402.41,36.2,0.034,4.26
2023-08,Pune,South Indian,1528,462024.71,302.2,34.4,0.026,4.77
2023-08,Pune,Chinese,1999,726862.3,363.51,32.0,0.038,4.33
2023-08,Pune,Italian,1022,313891.76,306.96,33.2,0.046,4.47
2023-08,Pune,Fast Food,2558,922847.48,360.74,31.7,0.026,4.69
2023-08,Hyderabad,North Indian,2413,960148.12,397.88,35.1,0.043,4.34
2023-08,Hyderabad,South Indian,1527,575648.58,376.77,33.8,0.033,4.78
2023-08,Hyderabad,Chinese,1933,543157.6,280.94,31.8,0.024,4.5
2023-08,Hyderabad,Italian,1129,372214.4,329.6,33.2,0.032,4.58
2023-08,Hyderabad,Fast Food,2712,918846.6,338.73,37.4,0.04,4.62
2023-08,Chennai,North Indian,2462,919900.32,373.57,37.2,0.047,4.62
2023-08,Chennai,South Indian,1655,520786.81,314.64,37.4,0.026,4.47
2023-08,Chennai,Chinese,1910,637035.79,333.41,29.3,0.031,4.7
2023-08,Chennai,Italian,1278,512240.56,400.66,37.5,0.033,4.35
2023-08,Chennai,Fast Food,2848,849784.36,298.34,32.4,0.044,4.3
2023-09,Mumbai,North Indian,3197,984757.08,308.0,34.5,0.044,4.23
2023-09,Mumbai,South Indian,2321,666158.82,286.97,29.4,0.038,4.51
2023-09,Mumbai,Chinese,2780,789646.98,284.0,30.0,0.044,4.26
2023-09,Mumbai,Italian,1563,490321.88,313.64,32.3,0.046,4.36
2023-09,Mumbai,Fast Food,3641,1261855.78,346.5,32.5,0.044,4.5
2023-09,Delhi,North Indian,2729,840576.83,307.99,29.3,0.046,4.5
2023-09,Delhi,South Indian,2060,843751.07,409.48,34.4,0.043,4.38
2023-09,Delhi,Chinese,2667,785332.0,294.46,32.3,0.031,4.31
2023-09,Delhi,Italian,1413,467178.8,330.48,32.6,0.034,4.79
2023-09,Delhi,Fast Food,3381,1065356.1,315.07,30.6,0.047,4.31
2023-09,Bangalore,North Indian,2953,1055911.77,357.49,28.6,0.044,4.32
2023-09,Bangalore,South Indian,1822,543396.33,298.18,35.6,0.041,4.44
2023-09,Bangalore,Chinese,2537,1063351.64,419.06,36.8,0.036,4.49
2023-09,Bangalore,Italian,1351,451791.65,334.36,35.7,0.024,4.79
2023-09,Bangalore,Fast Food,2898,1012661.14,349.37,31.4,0.038,4.65
2023-09,Pune,North Indian,2239,701735.81,313.35,36.9,0.042,4.47
2023-09,Pune,South Indian,1461,532733.31,364.42,37.9,0.029,4.49
2023-09,Pune,Chinese,1784,729833.1,408.91,36.0,0.046,4.34
2023-09,Pune,Italian,1066,404634.07,379.54,29.1,0.043,4.45
2023-09,Pune,Fast Food,2380,828767.76,348.13,28.5,0.036,4.31
2023-09,Hyderabad,North Indian,2379,718749.81,302.06,37.1,0.033,4.21
2023-09,Hyderabad,South Indian,1607,642376.06,399.51,36.8,0.048,4.54
2023-09,Hyderabad,Chinese,1944,594403.06,305.64,34.9,0.048,4.77
2023-09,Hyderabad,Italian,1114,465727.57,417.94,36.7,0.048,4.68
2023-09,Hyderabad,Fast Food,2851,1187565.52,416.43,30.2,0.04,4.48
2023-09,Chennai,North Indian,2446,704029.83,287.76,31.8,0.044,4.39
2023-09,Chennai,South Indian,1836,739370.43,402.54,36.4,0.033,4.49
2023-09,Chennai,Chinese,1940,679654.76,350.34,30.0,0.047,4.39
2023-09,Chennai,Italian,1108,394010.98,355.42,28.4,0.041,4.44
2023-09,Chennai,Fast Food,2928,1175773.09,401.51,29.5,0.033,4.57
2023-10,Mumbai,North Indian,3524,1132087.65,321.2,36.4,0.044,4.74
2023-10,Mumbai,South Indian,2570,1053593.25,409.93,30.2,0.021,4.26
2023-10,Mumbai,Chinese,3346,1344168.83,401.63,30.4,0.045,4.37
2023-10,Mumbai,Italian,1629,461889.07,283.48,31.5,0.021,4.76
2023-10,Mumbai,Fast Food,4306,1332267.7,309.4,35.9,0.033,4.4
2023-10,Delhi,North Indian,3382,1292656.91,382.11,29.3,0.022,4.37
2023-10,Delhi,South Indian,2777,969838.75,349.17,33.0,0.042,4.57
2023-10,Delhi,Chinese,3037,1107322.21,364.49,31.4,0.05,4.31
2023-10,Delhi,Italian,1906,579720.41,304.14,35.0,0.025,4.61
2023-10,Delhi,Fast Food,3997,1646037.41,411.79,31.5,0.04,4.44
2023-10,Bangalore,North Indian,3097,1078001.81,348.02,36.4,0.026,4.57
2023-10,Bangalore,South Indian,2338,807084.26,345.2,34.9,0.021,4.58
2023-10,Bangalore,Chinese,2877,946421.43,328.95,37.2,0.04,4.43
2023-10,Bangalore,Italian,1779,614197.02,345.08,38.0,0.048,4.42
2023-10,Bangalore,Fast Food,3978,1497497.73,376.37,35.4,0.045,4.75
2023-10,Pune,North Indian,2448,960041.73,392.03,35.0,0.022,4.55
2023-10,Pune,South Indian,1933,566417.24,293.01,34.3,0.034,4.4
2023-10,Pune,Chinese,2113,613047.49,290.13,34.7,0.036,4.3
2023-10,Pune,Italian,1304,535733.85,410.61,36.8,0.036,4.38
2023-10,Pune,Fast Food,2987,1105227.49,370.01,32.0,0.048,4.26
2023-10,Hyderabad,North Indian,2627,826146.8,314.47,33.0,0.048,4.78
2023-10,Hyderabad,South Indian,1985,565830.84,284.94,30.8,0.02,4.56
2023-10,Hyderabad,Chinese,2358,811889.93,344.22,35.0,0.046,4.33
2023-10,Hyderabad,Italian,1320,510306.81,386.36,35.8,0.043,4.35
2023-10,Hyderabad,Fast Food,3375,962472.68,285.12,31.9,0.048,4.32
2023-10,Chennai,North Indian,2748,1037214.97,377.42,36.2,0.042,4.6
2023-10,Chennai,South Indian,1948,707913.89,363.27,28.3,0.044,4.47
2023-10,Chennai,Chinese,2485,815866.61,328.19,36.2,0.048,4.58
2023-10,Chennai,Italian,1209,340431.61,281.36,35.3,0.025,4.27
2023-10,Chennai,Fast Food,3510,1241811.0,353.79,35.9,0.026,4.3
2023-11,Mumbai,North Indian,3594,1383436.55,384.89,37.6,0.035,4.42
2023-11,Mumbai,South Indian,2855,961868.0,336.86,31.0,0.04,4.45
2023-11,Mumbai,Chinese,3101,1286866.14,414.92,36.1,0.022,4.33
2023-11,Mumbai,Italian,1797,652828.73,363.23,31.6,0.03,4.26
2023-11,Mumbai,Fast Food,4515,1744049.23,386.24,33.8,0.043,4.67
2023-11,Delhi,North Indian,3370,1149025.19,340.87,36.1,0.032,4.39
2023-11,Delhi,South Indian,2597,803206.48,309.23,34.2,0.048,4.72
2023-11,Delhi,Chinese,2958,1078221.28,364.49,33.0,0.047,4.71
2023-11,Delhi,Italian,1817,673429.55,370.49,28.4,0.031,4.75
2023-11,Delhi,Fast Food,4117,1672550.71,406.24,33.4,0.033,4.36
2023-11,Bangalore,North Indian,2847,1151079.91,404.28,29.6,0.024,4.4
2023-11,Bangalore,South Indian,2326,785346.16,337.57,37.0,0.036,4.79
2023-11,Bangalore,Chinese,3115,1196524.76,384.04,37.4,0.046,4.23
2023-11,Bangalore,Italian,1645,568210.53,345.37,33.3,0.035,4.4
2023-11,Bangalore,Fast Food,3670,1400592.14,381.56,34.5,0.029,4.73
2023-11,Pune,North Indian,2480,846196.59,341.15,37.4,0.028,4.31
2023-11,Pune,South Indian,1959,750919.81,383.14,29.4,0.032,4.47
2023-11,Pune,Chinese,2038,803963.38,394.32,32.1,0.028,4.37
2023-11,Pune,Italian,1171,406500.61,346.98,36.2,0.025,4.7
2023-11,Pune,Fast Food,2813,881294.34,313.18,34.8,0.042,4.41
2023-11,Hyderabad,North Indian,2554,795103.78,311.23,33.9,0.043,4.79
2023-11,Hyderabad,South Indian,2008,619802.73,308.57,30.9,0.035,4.57
2023-11,Hyderabad,Chinese,2432,803650.91,330.38,31.1,0.038,4.64
2023-11,Hyderabad,Italian,1322,528748.7,399.87,32.2,0.049,4.34
2023-11,Hyderabad,Fast Food,2891,867186.96,299.9,29.1,0.048,4.72
2023-11,Chennai,North Indian,2994,1228137.8,410.09,35.8,0.04,4.77
2023-11,Chennai,South Indian,2157,779712.51,361.32,29.4,0.024,4.51
2023-11,Chennai,Chinese,2379,890834.71,374.42,35.0,0.033,4.28
2023-11,Chennai,Italian,1416,553333.94,390.69,30.5,0.032,4.79
2023-11,Chennai,Fast Food,3144,1093756.46,347.83,30.4,0.03,4.49
2023-12,Mumbai,North Indian,3226,1353681.63,419.51,35.2,0.036,4.27
2023-12,Mumbai,South Indian,2231,727354.04,325.9,37.9,0.023,4.4
2023-12,Mumbai,Chinese,2903,1196571.28,412.11,28.3,0.047,4.32
2023-12,Mumbai,Italian,1791,583095.38,325.5,29.2,0.027,4.45
2023-12,Mumbai,Fast Food,3921,1171845.62,298.86,32.0,0.032,4.31
2023-12,Delhi,North Indian,2913,835783.92,286.84,36.4,0.043,4.8
2023-12,Delhi,South Indian,2149,802717.02,373.51,35.2,0.047,4.7
2023-12,Delhi,Chinese,2870,1116298.44,388.92,37.1,0.044,4.64
2023-12,Delhi,Italian,1545,452948.15,293.17,34.4,0.026,4.45
2023-12,Delhi,Fast Food,3259,1176014.09,360.75,30.3,0.031,4.4
2023-12,Bangalore,North Indian,2706,926642.49,342.32,34.4,0.038,4.67
2023-12,Bangalore,South Indian,2304,682327.72,296.04,31.7,0.024,4.21
2023-12,Bangalore,Chinese,2560,981336.93,383.23,36.4,0.041,4.47
2023-12,Bangalore,Italian,1445,510090.04,352.98,29.8,0.021,4.56
2023-12,Bangalore,Fast Food,3799,1483960.96,390.55,35.2,0.044,4.26
2023-12,Pune,North Indian,2251,705283.12,313.27,36.0,0.048,4.54
2023-12,Pune,South Indian,1522,581459.14,381.91,32.9,0.032,4.57
2023-12,Pune,Chinese,1888,536143.98,283.92,31.8,0.021,4.75
2023-12,Pune,Italian,1119,319163.57,284.98,35.4,0.02,4.66
2023-12,Pune,Fast Food,2504,927212.55,370.2,30.9,0.046,4.38
2023-12,Hyderabad,North Indian,2324,961529.58,413.67,34.1,0.028,4.25
2023-12,Hyderabad,South Indian,1640,512184.2,312.16,35.1,0.033,4.4
2023-12,Hyderabad,Chinese,2065,842337.38,407.8,30.6,0.039,4.52
2023-12,Hyderabad,Italian,1183,346673.08,292.93,31.0,0.049,4.41
2023-12,Hyderabad,Fast Food,2480,792727.26,319.55,33.3,0.046,4.52
2023-12,Chennai,North Indian,2605,911626.29,349.84,28.5,0.038,4.79
2023-12,Chennai,South Indian,1636,569849.21,348.25,32.0,0.048,4.8
2023-12,Chennai,Chinese,2056,729080.58,354.51,28.7,0.023,4.44
2023-12,Chennai,Italian,1177,341420.61,289.86,30.2,0.033,4.32
2023-12,Chennai,Fast Food,2704,809165.83,299.19,32.7,0.041,4.57
2024-01,Mumbai,North Indian,3129,1076545.93,344.05,31.2,0.024,4.44
2024-01,Mumbai,South Indian,2263,791784.84,349.75,31.8,0.044,4.42
2024-01,Mumbai,Chinese,2773,800963.97,288.75,28.7,0.049,4.34
2024-01,Mumbai,Italian,1645,531375.4,322.91,29.0,0.045,4.3
2024-01,Mumbai,Fast Food,3993,1335208.98,334.38,33.2,0.039,4.45
2024-01,Delhi,North Indian,3128,1102503.44,352.42,33.6,0.048,4.35
2024-01,Delhi,South Indian,2040,591932.47,290.15,28.2,0.02,4.79
2024-01,Delhi,Chinese,2926,956569.34,326.82,31.5,0.047,4.75
2024-01,Delhi,Italian,1525,546997.19,358.55,36.7,0.041,4.43
2024-01,Delhi,Fast Food,3835,1443056.36,376.24,34.2,0.041,4.57
2024-01,Bangalore,North Indian,2802,849617.98,303.12,35.8,0.046,4.4
2024-01,Bangalore,South Indian,2152,725493.55,337.02,36.0,0.043,4.53
2024-01,Bangalore,Chinese,2486,925796.77,372.36,33.3,0.02,4.28
2024-01,Bangalore,Italian,1539,529167.52,343.8,36.8,0.045,4.26
2024-01,Bangalore,Fast Food,3500,1042965.04,297.95,32.2,0.041,4.62
2024-01,Pune,North Indian,2255,874597.54,387.83,37.5,0.036,4.76
2024-01,Pune,South Indian,1615,615795.45,381.21,36.6,0.025,4.52
2024-01,Pune,Chinese,2010,776607.32,386.26,35.2,0.025,4.71
2024-01,Pune,Italian,1178,358642.16,304.45,31.1,0.025,4.79
2024-01,Pune,Fast Food,2705,998332.26,369.03,34.0,0.033,4.21
2024-01,Hyderabad,North Indian,2353,818921.9,347.93,32.3,0.039,4.21
2024-01,Hyderabad,South Indian,1730,526835.22,304.48,35.4,0.033,4.4
2024-01,Hyderabad,Chinese,1976,558475.46,282.49,32.6,0.029,4.66
2024-01,Hyderabad,Italian,1154,337546.52,292.29,36.7,0.03,4.63
2024-01,Hyderabad,Fast Food,2868,916039.02,319.38,32.1,0.038,4.43
2024-01,Chennai,North Indian,2475,826994.41,334.08,35.8,0.028,4.76
2024-01,Chennai,South Indian,1742,650019.67,373.05,31.5,0.041,4.31
2024-01,Chennai,Chinese,2285,816088.41,357.05,33.5,0.033,4.57
2024-01,Chennai,Italian,1363,570402.35,418.22,37.4,0.029,4.34
2024-01,Chennai,Fast Food,2902,1023835.99,352.7,37.6,0.041,4.38
2024-02,Mumbai,North Indian,3417,1239795.39,362.79,32.4,0.033,4.53
2024-02,Mumbai,South Indian,2308,896905.14,388.55,29.4,0.04,4.33
2024-02,Mumbai,Chinese,2657,821085.33,308.92,32.1,0.04,4.25
2024-02,Mumbai,Italian,1571,619399.39,394.07,28.6,0.027,4.39
2024-02,Mumbai,Fast Food,3804,1081928.35,284.37,33.7,0.043,4.65
2024-02,Delhi,North Indian,2981,1216164.73,407.92,30.9,0.024,4.73
2024-02,Delhi,South Indian,2389,962664.88,402.86,31.5,0.037,4.57
2024-02,Delhi,Chinese,2661,836411.45,314.29,28.2,0.021,4.27
2024-02,Delhi,Italian,1578,528847.51,335.04,33.8,0.024,4.69
2024-02,Delhi,Fast Food,3855,1456878.12,377.85,34.2,0.049,4.46
2024-02,Bangalore,North Indian,3035,982150.67,323.5,35.5,0.039,4.23
2024-02,Bangalore,South Indian,2033,781665.95,384.32,37.4,0.03,4.65
2024-02,Bangalore,Chinese,2469,859963.97,348.3,36.9,0.039,4.22
2024-02,Bangalore,Italian,1530,511763.04,334.48,30.6,0.031,4.24
2024-02,Bangalore,Fast Food,3604,1196785.51,332.05,28.5,0.046,4.38
2024-02,Pune,North Indian,2315,718577.88,310.33,35.0,0.03,4.69
2024-02,Pune,South Indian,1605,494700.98,308.07,37.7,0.04,4.67
2024-02,Pune,Chinese,1917,604043.38,314.94,34.1,0.045,4.67
2024-02,Pune,Italian,1232,377310.07,306.13,28.8,0.046,4.31
2024-02,Pune,Fast Food,2702,949748.55,351.41,37.0,0.035,4.28
2024-02,Hyderabad,North Indian,2396,795000.92,331.76,35.8,0.037,4.7
2024-02,Hyderabad,South Indian,1661,549438.33,330.59,36.1,0.034,4.65
2024-02,Hyderabad,Chinese,2161,720899.06,333.54,30.1,0.033,4.53
2024-02,Hyderabad,Italian,1224,390093.01,318.5,36.1,0.039,4.28
2024-02,Hyderabad,Fast Food,2925,1151067.36,393.41,30.8,0.036,4.45
2024-02,Chennai,North Indian,2541,1023165.11,402.65,37.6,0.032,4.77
2024-02,Chennai,South Indian,1732,592756.95,342.14,29.6,0.024,4.67
2024-02,Chennai,Chinese,2185,714992.99,327.09,29.7,0.023,4.31
2024-02,Chennai,Italian,1186,485102.95,408.77,28.3,0.028,4.21
2024-02,Chennai,Fast Food,2911,1170357.96,402.01,30.7,0.022,4.71
2024-03,Mumbai,North Indian,3145,1282977.74,407.91,32.8,0.025,4.44
2024-03,Mumbai,South Indian,2499,983119.46,393.27,36.3,0.043,4.75
2024-03,Mumbai,Chinese,2741,776540.63,283.29,36.0,0.025,4.52
2024-03,Mumbai,Italian,1629,544836.29,334.32,34.6,0.022,4.46
2024-03,Mumbai,Fast Food,3424,1422594.69,415.41,36.9,0.026,4.51
2024-03,Delhi,North Indian,3366,952571.37,282.93,32.5,0.023,4.71
2024-03,Delhi,South Indian,2503,795456.93,317.71,36.3,0.034,4.73
2024-03,Delhi,Chinese,2978,932680.69,313.09,37.0,0.032,4.38
2024-03,Delhi,Italian,1490,541498.19,363.34,37.0,0.032,4.79
2024-03,Delhi,Fast Food,3791,1197536.24,315.85,33.6,0.043,4.55
2024-03,Bangalore,North Indian,2942,1231312.62,418.4,32.2,0.035,4.3
2024-03,Bangalore,South Indian,2068,831702.9,402.17,28.2,0.03,4.28
2024-03,Bangalore,Chinese,2470,748446.91,302.98,28.4,0.041,4.63
2024-03,Bangalore,Italian,1490,515078.62,345.56,36.2,0.032,4.46
2024-03,Bangalore,Fast Food,3137,1239694.51,395.17,35.6,0.021,4.68
2024-03,Pune,North Indian,2265,774623.37,341.9,33.1,0.049,4.5
2024-03,Pune,South Indian,1691,652682.06,385.81,30.6,0.022,4.44
2024-03,Pune,Chinese,1861,715284.56,384.27,32.3,0.029,4.4
2024-03,Pune,Italian,1158,431816.35,372.81,32.4,0.044,4.73
2024-03,Pune,Fast Food,2674,1068896.95,399.72,37.5,0.023,4.3
2024-03,Hyderabad,North Indian,2179,828986.16,380.41,34.4,0.041,4.38
2024-03,Hyderabad,South Indian,1867,540986.07,289.64,33.3,0.031,4.56
2024-03,Hyderabad,Chinese,2046,827676.25,404.37,36.1,0.025,4.37
2024-03,Hyderabad,Italian,1304,415641.49,318.73,36.4,0.046,4.25
2024-03,Hyderabad,Fast Food,2565,1016109.58,396.12,29.8,0.037,4.47
2024-03,Chennai,North Indian,2434,870209.17,357.45,35.4,0.05,4.65
2024-03,Chennai,South Indian,1941,677900.58,349.17,28.4,0.029,4.49
2024-03,Chennai,Chinese,2081,751966.6,361.29,31.9,0.029,4.28
2024-03,Chennai,Italian,1175,444563.14,378.26,28.6,0.049,4.41
2024-03,Chennai,Fast Food,3006,1163346.96,386.97,36.3,0.024,4.65
2024-04,Mumbai,North Indian,3460,1039517.27,300.38,32.8,0.045,4.77
2024-04,Mumbai,South Indian,2307,833269.84,361.14,31.9,0.04,4.53
2024-04,Mumbai,Chinese,3041,966248.03,317.72,33.7,0.025,4.25
2024-04,Mumbai,Italian,1631,498689.76,305.64,35.7,0.03,4.8
2024-04,Mumbai,Fast Food,3983,1273400.84,319.64,30.3,0.027,4.38
2024-04,Delhi,North Indian,2769,842276.8,304.14,35.6,0.049,4.72
2024-04,Delhi,South Indian,2189,765934.06,349.76,34.1,0.045,4.74
2024-04,Delhi,Chinese,2814,884148.88,314.19,37.7,0.035,4.28
2024-04,Delhi,Italian,1607,521679.31,324.44,32.7,0.025,4.62
2024-04,Delhi,Fast Food,3954,1539294.67,389.25,36.5,0.04,4.8
2024-04,Bangalore,North Indian,3029,849147.86,280.33,28.3,0.022,4.75
2024-04,Bangalore,South Indian,2199,812927.92,369.55,35.6,0.05,4.28
2024-04,Bangalore,Chinese,2450,782018.25,319.09,34.1,0.035,4.67
2024-04,Bangalore,Italian,1497,476989.06,318.54,31.3,0.031,4.3
2024-04,Bangalore,Fast Food,3640,1120580.48,307.78,33.1,0.033,4.36
2024-04,Pune,North Indian,2217,759951.17,342.76,32.6,0.044,4.23
2024-04,Pune,South Indian,1680,552330.75,328.75,31.7,0.034,4.58
2024-04,Pune,Chinese,1999,826323.41,413.18,34.7,0.034,4.51
2024-04,Pune,Italian,1205,342529.45,284.18,35.1,0.036,4.35
2024-04,Pune,Fast Food,2983,1166847.97,391.14,28.5,0.04,4.3
2024-04,Hyderabad,North Indian,2631,1029292.56,391.21,37.3,0.047,4.35
2024-04,Hyderabad,South Indian,1884,765919.13,406.53,30.6,0.046,4.67
2024-04,Hyderabad,Chinese,2120,659133.38,310.8,33.4,0.047,4.29
2024-04,Hyderabad,Italian,1234,435858.62,353.02,35.1,0.024,4.51
2024-04,Hyderabad,Fast Food,2579,818622.25,317.32,36.1,0.049,4.34
2024-04,Chennai,North Indian,2472,955710.49,386.56,33.2,0.03,4.77
2024-04,Chennai,South Indian,1870,759329.63,406.0,31.9,0.039,4.48
2024-04,Chennai,Chinese,2114,713190.63,337.3,31.3,0.024,4.55
2024-04,Chennai,Italian,1375,526033.2,382.49,28.8,0.041,4.55
2024-04,Chennai,Fast Food,3107,972299.41,312.9,32.6,0.043,4.22
2024-05,Mumbai,North Indian,3130,1185227.26,378.59,33.3,0.048,4.51
2024-05,Mumbai,South Indian,2220,729963.16,328.81,29.5,0.043,4.57
2024-05,Mumbai,Chinese,3090,1124855.83,364.01,29.1,0.023,4.75
2024-05,Mumbai,Italian,1601,659919.69,411.99,35.9,0.034,4.5
2024-05,Mumbai,Fast Food,3912,1438991.45,367.82,35.7,0.038,4.58
2024-05,Delhi,North Indian,2863,887274.45,309.88,29.2,0.046,4.64
2024-05,Delhi,South Indian,2097,848485.22,404.55,37.0,0.028,4.21
2024-05,Delhi,Chinese,2631,873356.45,331.87,32.0,0.042,4.38
2024-05,Delhi,Italian,1548,562804.97,363.41,34.8,0.038,4.62
2024-05,Delhi,Fast Food,3618,1370124.85,378.66,36.7,0.04,4.59
2024-05,Bangalore,North Indian,3053,1040963.04,340.96,29.2,0.029,4.3
2024-05,Bangalore,South Indian,2228,848202.76,380.68,33.4,0.047,4.5
2024-05,Bangalore,Chinese,2598,731331.61,281.46,34.0,0.026,4.24
2024-05,Bangalore,Italian,1584,572731.73,361.54,35.0,0.045,4.55
2024-05,Bangalore,Fast Food,3176,1323739.6,416.71,31.8,0.036,4.45
2024-05,Pune,North Indian,2231,839675.97,376.28,31.7,0.023,4.25
2024-05,Pune,South Indian,1726,707564.8,409.94,32.0,0.045,4.55
2024-05,Pune,Chinese,2029,658447.91,324.51,30.2,0.022,4.34
2024-05,Pune,Italian,1128,377794.23,334.86,28.2,0.023,4.37
